Realistic,Investigate,Artistic,Social,Enterprising,Conventional,Naturalist,Spatial,Linguistic,Intrapersonal,Bodily-Kinesthetic,Musical,Logical-mathematical,Interpersonal,Math,English,Science,Social Science,Class
0,1,0,1,1,0,0,1,0,1,0,1,0,0,91,96,93,96,2
0,1,1,0,1,0,0,1,0,1,0,0,1,0,88,87,89,85,1
1,1,0,1,0,0,0,0,1,0,1,0,0,1,92,95,90,94,2
0,1,0,1,1,0,0,0,0,0,0,1,1,1,85,80,80,80,4
1,0,1,0,1,0,0,0,1,0,1,0,0,1,87,93,87,93,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,97,95,92,97,4
0,0,1,1,1,0,1,0,1,1,0,0,0,0,80,95,90,87,4
0,0,0,1,1,1,1,0,0,1,0,1,0,0,89,91,88,87,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,91,89,89,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,90,89,89,3
1,0,1,0,0,1,1,0,1,1,0,0,0,0,88,88,88,87,4
1,0,0,1,0,1,1,1,1,0,0,0,0,0,90,90,95,95,4
0,1,0,0,1,1,1,0,0,0,0,0,1,1,90,92,89,89,3
0,0,1,1,0,1,0,0,1,0,1,0,0,1,91,91,90,93,2
0,1,0,1,1,0,0,0,0,0,1,1,1,0,94,97,92,96,2
0,1,1,0,0,1,1,1,0,0,0,0,1,0,93,93,92,86,3
1,0,0,1,1,0,0,1,1,0,0,0,0,1,91,90,92,90,4
0,0,1,1,0,1,1,1,0,0,0,1,0,0,93,96,93,95,2
0,0,0,1,1,1,0,0,1,0,1,0,0,1,92,97,92,95,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,91,90,92,90,4
1,1,0,0,0,1,0,0,0,1,0,1,1,0,91,89,90,89,1
1,1,0,0,0,1,1,0,0,1,0,0,0,1,91,90,92,90,1
1,1,0,0,0,1,0,0,1,1,0,0,1,0,89,92,85,89,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,90,88,90,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,87,89,85,3
1,0,1,0,1,0,1,0,1,1,0,0,0,0,94,91,90,88,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,96,92,90,90,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,94,87,91,86,3
0,0,1,1,0,1,1,0,1,0,0,0,0,1,91,91,91,89,2
1,1,1,0,0,0,0,0,1,0,1,0,0,1,84,96,90,88,2
0,0,1,1,0,1,1,0,1,0,0,0,0,1,94,92,86,92,2
1,0,0,1,0,1,1,0,0,0,0,1,0,1,91,90,88,90,4
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,89,91,88,1
0,1,0,0,1,1,0,1,0,1,0,0,1,0,92,91,89,89,1
0,0,1,0,1,1,0,0,1,0,0,1,0,1,90,91,89,88,4
1,0,1,1,0,0,1,0,1,0,1,0,0,0,85,90,86,88,4
1,0,0,1,0,1,0,0,0,0,1,1,0,1,89,92,82,90,4
0,0,0,1,1,1,0,1,0,1,0,0,1,0,89,91,88,87,1
0,1,0,0,1,1,0,0,0,1,0,0,0,1,89,90,87,85,3
0,1,0,1,0,1,0,0,1,0,0,0,1,1,92,92,89,91,3
